-3.141593 411.083695 
-3.036873 425.244965 
-2.932153 439.117027 
-2.827433 452.456673 
-2.722714 465.010964 
-2.617994 476.524502 
-2.513274 486.747098 
-2.408554 495.441529 
-2.303835 502.391149 
-2.199115 507.407059 
-2.094395 510.334608 
-1.989675 511.058990 
-1.884956 509.509739 
-1.780236 505.663955 
-1.675516 499.548163 
-1.570796 491.238691 
-1.466077 480.860580 
-1.361357 468.585000 
-1.256637 454.625273 
-1.151917 439.231581 
-1.047198 422.684533 
-0.942478 405.287758 
-0.837758 387.359753 
-0.733038 369.225244 
-0.628319 351.206314 
-0.523599 333.613612 
-0.418879 316.737921 
-0.314159 300.842417 
-0.209440 286.155892 
-0.104720 272.867242 
0.000000 261.121458 
0.104720 251.017317 
0.209440 242.606923 
0.314159 235.897134 
0.418879 230.852858 
0.523599 227.402075 
0.628319 225.442348 
0.733038 224.848500 
0.837758 225.481052 
0.942478 227.194947 
1.047198 229.848079 
1.151917 233.309125 
1.256637 237.464202 
1.361357 242.221966 
1.466077 247.516842 
1.570796 253.310215 
1.675516 259.589560 
1.780236 266.365641 
1.884956 273.668030 
1.989675 281.539324 
2.094395 290.028457 
2.199115 299.183581 
2.303835 309.044923 
2.408554 319.638029 
2.513274 330.967735 
2.617994 343.013142 
2.722714 355.723823 
2.827433 369.017413 
2.932153 382.778670 
3.036873 396.860040 
