0 -nan -nan -nan -nan 
0.125 0.366857 0.133647 0.34437 0.429776 
0.126 0.298651 0.174778 0.502862 0.590116 
0.127 0.243494 0.218097 0.631835 0.702275 
0.128 0.213637 0.252223 0.700886 0.741213 
0.129 0.214282 0.268965 0.695637 0.700563 
0.13 0.243124 0.264893 0.619709 0.592396 
0.131 0.291677 0.241575 0.49237 0.442889 
0.132 0.347809 0.204677 0.342969 0.285428 
0.133 0.398734 0.162282 0.203836 0.152991 
0.134 0.43374 0.122941 0.10334 0.0714966 
0.135 0.446147 0.0938847 0.0605339 0.0553122 
0.136 0.434196 0.079744 0.082217 0.105521 
0.137 0.400879 0.0819482 0.16268 0.210877 
0.138 0.352894 0.0988048 0.2858 0.350913 
0.139 0.29906 0.126142 0.428797 0.500333 
0.14 0.248551 0.158308 0.566746 0.63376 
0.141 0.209296 0.189294 0.676974 0.729958 
0.142 0.186786 0.213774 0.742601 0.774918 
0.143 0.183434 0.227894 0.754767 0.763451 
0.144 0.198495 0.229724 0.713355 0.699241 
0.145 0.228499 0.219355 0.626292 0.593548 
0.146 0.268027 0.198677 0.507732 0.462946 
0.147 0.310691 0.170915 0.375517 0.326537 
0.148 0.350128 0.140041 0.248388 0.203114 
0.149 0.380871 0.110148 0.143366 0.10867 
0.15 0.398997 0.0848863 0.0736311 0.0545353 
0.151 0.40249 0.0670327 0.0471282 0.0463198 
0.152 0.391318 0.0582229 0.0659844 0.0836781 
0.153 0.36725 0.0588615 0.126707 0.160832 
0.154 0.333471 0.0681955 0.221042 0.267687 
0.155 0.294081 0.0845165 0.33731 0.391335 
0.156 0.253534 0.105452 0.461997 0.517722 
0.157 0.216111 0.128295 0.58139 0.633274 
0.158 0.185469 0.150336 0.683079 0.726306 
0.159 0.164303 0.16915 0.757154 0.788083 
0.16 0.15416 0.182825 0.797039 0.81348 
0.161 0.15538 0.190104 0.799889 0.801209 
0.162 0.167174 0.190453 0.766592 0.753643 
0.163 0.187798 0.18404 0.701393 0.676319 
0.164 0.214805 0.171655 0.611255 0.577179 
0.165 0.245328 0.154579 0.505014 0.46568 
0.166 0.276377 0.134421 0.39246 0.351846 
0.167 0.305113 0.11295 0.283413 0.245371 
0.168 0.329075 0.0919198 0.186895 0.154828 
0.169 0.346359 0.0729304 0.110437 0.0870537 
0.17 0.355718 0.0573058 0.0595816 0.0467341 
0.171 0.356615 0.0460136 0.0375941 0.0361933 
0.172 0.349198 0.0396208 0.0453722 0.0553923 
0.173 0.334235 0.0382861 0.0815516 0.102104 
0.174 0.313 0.0417845 0.14277 0.172236 
0.175 0.287144 0.0495576 0.224052 0.260256 
0.176 0.25854 0.0607835 0.319277 0.359683 
0.177 0.229138 0.0744574 0.421679 0.463593 
0.178 0.200823 0.0894773 0.524353 0.565118 
0.179 0.175295 0.104726 0.620715 0.657887 
0.18 0.153974 0.119147 0.704907 0.736395 
0.181 0.137928 0.131805 0.772116 0.796291 
0.182 0.12784 0.141939 0.818795 0.834557 
0.183 0.123992 0.14899 0.842793 0.849598 
0.184 0.126284 0.15262 0.843383 0.841238 
0.185 0.134267 0.152712 0.821209 0.810629 
0.186 0.147198 0.149359 0.778153 0.760096 
0.187 0.164103 0.142843 0.717146 0.692928 
0.188 0.183851 0.133599 0.641942 0.61314 
0.189 0.205228 0.122183 0.556855 0.525203 
0.19 0.227002 0.109229 0.466505 0.433792 
0.191 0.247996 0.0954119 0.375556 0.343532 
0.192 0.267136 0.0814085 0.288483 0.258769 
0.193 0.283504 0.067863 0.209363 0.183385 
